# Generation Avg_Strain_Top100_Model Avg_Strain_Top100_Random
1.000000000000000000e+00 1.637786839023120944e-01 1.637786839023120944e-01
2.000000000000000000e+00 3.751533422981823684e-01 2.313434260183056534e-01
3.000000000000000000e+00 6.218392400121459662e-01 2.667913069882444921e-01
4.000000000000000000e+00 6.453528824881794579e-01 2.924508740727888578e-01
5.000000000000000000e+00 6.471517806793042338e-01 3.058491302650414023e-01
6.000000000000000000e+00 6.472571899535851658e-01 3.167566043465059322e-01
7.000000000000000000e+00 6.475786231726889941e-01 3.275087841061901095e-01
8.000000000000000000e+00 6.475786231726892161e-01 3.357242007547824869e-01
9.000000000000000000e+00 6.475786231726892161e-01 3.480145751095302109e-01
1.000000000000000000e+01 6.475786231726892161e-01 3.735448748535983299e-01
1.100000000000000000e+01 6.475786231726889941e-01 3.778831388539453107e-01
1.200000000000000000e+01 6.475786231726892161e-01 3.848883008719039545e-01
1.300000000000000000e+01 6.577074567301434138e-01 3.910428143842451520e-01
1.400000000000000000e+01 7.265922005812691653e-01 3.942102980089359221e-01
1.500000000000000000e+01 7.325285212336790641e-01 4.019867262395349639e-01
1.600000000000000000e+01 7.327063722725892791e-01 4.150518370710969407e-01
