# 29791 Non Detached configurations
# Column [0-14]: Kirigami structure, '1': intact, '0': cut
# Column 15: Yield strain 
# Column 16: Toughness (integration stress-strain curver up to yield point)
# Column 17: Yield stress
1 0 0 1 1 0 1 0 1 1 1 1 0 1 0  0.2772 7.7482 46.2048
1 0 0 1 1 1 1 1 1 1 1 0 1 1 0  0.3052 12.5389 65.8230
1 1 1 0 1 0 1 0 0 1 1 1 1 1 1  0.2488 8.2344 56.7141
1 0 1 1 0 1 0 0 1 0 1 0 1 1 0  0.2934 9.3721 54.1586
0 1 0 1 1 1 0 0 1 0 1 1 0 0 1  0.4899 14.2970 43.9686
0 1 1 0 0 0 1 0 1 1 0 0 0 1 1  0.5506 10.1923 26.3702
0 0 0 0 1 0 1 1 1 0 0 0 1 0 1  0.4643 5.7345 18.8356
0 1 0 0 1 0 1 1 0 1 1 0 1 1 0  0.3150 8.7299 44.6324
1 1 0 1 0 1 0 0 0 0 0 1 1 0 1  0.4747 7.2740 23.5139
0 0 0 1 0 1 0 1 0 0 1 0 0 0 1  0.6324 6.8130 18.3029
0 0 0 1 0 1 1 0 0 1 0 1 0 0 1  0.6118 11.6909 27.6344
1 0 1 0 1 0 0 1 0 1 1 1 1 0 0  0.2976 5.7687 33.4926
1 0 1 0 1 1 0 1 0 1 1 0 1 0 0  0.3432 11.8575 55.8914
0 0 0 1 1 1 0 1 1 1 0 0 0 1 0  0.2266 3.7156 26.9532
1 0 0 0 0 1 1 0 1 1 1 1 0 1 1  0.2487 4.4076 28.3292
0 1 1 0 0 0 0 0 1 1 0 1 1 0 1  0.4073 5.1826 21.1174
1 0 0 1 0 0 1 0 1 1 0 1 1 1 0  0.3062 8.4880 46.2532
1 0 0 1 0 0 0 0 1 0 1 1 1 1 1  0.3651 7.8899 34.7991
0 0 1 1 0 1 0 0 1 1 0 1 0 1 1  0.3579 9.0902 38.2317
1 1 0 1 1 1 1 1 1 1 1 0 0 0 1  0.2717 9.1876 53.7753
1 0 1 1 1 0 1 0 1 0 1 1 1 0 0  0.3851 12.1178 51.1608
0 1 1 1 1 0 1 0 1 1 0 1 1 0 1  0.3586 16.9896 72.8154
1 0 0 1 1 1 0 0 1 0 1 0 1 1 0  0.3083 10.0312 52.5363
0 0 1 0 0 0 1 0 1 0 0 0 1 0 0  0.4533 6.2340 22.3440
0 0 1 0 0 0 1 0 0 1 0 0 0 0 1  0.6713 6.5560 17.6835
0 1 1 1 1 0 1 1 1 0 1 1 1 1 0  0.2785 12.5855 78.4995
0 0 0 1 1 1 0 1 0 0 0 0 0 0 1  1.0638 8.7981 13.3901
1 1 1 0 0 1 1 0 1 1 0 1 1 0 1  0.3591 12.2228 54.5499
1 1 1 0 0 0 1 0 1 0 0 0 1 1 0  0.4754 11.5977 35.8318
0 1 1 1 0 1 1 1 0 1 1 1 0 0 0  0.3222 8.4589 41.2908
0 0 1 1 0 0 0 0 1 1 1 1 0 1 1  0.3486 8.4380 37.9272
1 0 1 0 1 0 1 1 0 0 0 1 0 0 0  0.2563 4.0422 26.1083
0 1 1 0 1 1 0 1 0 1 1 0 0 1 0  0.3286 9.1141 44.8044
0 1 1 1 1 0 1 0 0 0 0 0 0 1 1  0.7660 8.9333 19.2547
1 0 1 0 1 1 0 1 1 1 0 1 0 1 1  0.3046 12.4054 65.6601
1 0 0 1 0 0 1 0 1 1 0 1 0 0 0  0.3704 6.5754 49.4479
0 0 0 1 1 0 0 0 0 1 1 1 0 1 0  0.4411 5.6446 19.6945
1 1 1 1 1 1 1 0 0 0 1 0 1 1 1  0.3349 9.3568 43.7537
0 1 0 0 1 0 0 1 0 1 0 0 1 0 0  0.4126 6.8425 27.7753
0 1 0 1 0 1 1 0 1 1 0 0 1 1 0  0.3741 10.7369 43.8415
0 1 0 1 0 0 0 1 1 0 1 0 0 0 0  0.5776 4.7221 13.7631
0 0 1 1 0 0 0 0 1 0 1 1 1 1 1  0.2934 6.0175 38.2365
1 1 0 1 0 1 1 1 0 1 0 1 0 0 0  0.2178 3.9121 30.3975
1 0 0 1 0 1 1 0 0 0 0 0 0 1 0  0.6825 5.8572 15.2630
0 0 1 1 0 0 1 0 1 0 0 1 0 0 1  0.4646 12.0817 40.3277
1 1 0 1 1 0 0 1 0 0 1 1 1 0 1  0.3861 8.3756 35.5159
0 0 1 1 1 1 1 0 0 0 1 0 1 1 0  0.4455 6.2561 22.6793
1 1 1 1 1 0 0 0 1 0 0 0 1 0 0  0.4116 5.7685 22.5711
0 0 1 1 0 0 1 0 1 1 0 0 0 0 1  0.3695 5.7800 23.2691
1 1 1 1 0 0 0 1 1 1 0 0 1 0 1  0.3350 10.8241 51.8697
1 1 1 0 0 0 0 1 0 0 1 1 1 1 1  0.3054 6.4408 34.5030
0 1 0 0 1 1 1 1 0 1 1 0 0 1 0  0.3209 8.7226 45.6984
0 1 1 0 1 1 0 0 0 1 0 0 0 1 1  0.3726 7.1968 30.2371
1 0 1 1 0 1 1 0 0 1 0 0 1 1 1  0.4597 11.8368 48.3176
0 1 0 0 0 1 0 1 1 0 0 0 0 0 1  0.6352 5.7551 15.0683
1 0 0 0 0 1 0 1 0 1 0 1 1 1 0  0.4231 6.6901 26.1736
0 1 0 1 0 1 0 1 0 1 0 1 1 1 1  0.4153 14.8441 57.8773
0 1 1 1 0 0 1 1 0 1 1 0 0 1 0  0.4606 13.9703 45.9225
0 0 0 1 0 1 1 0 0 1 0 1 1 1 0  0.7004 12.6757 27.0693
0 1 1 0 1 0 1 1 1 0 1 0 1 0 0  0.2839 7.6144 44.3676
0 1 0 1 0 1 0 1 1 0 0 1 1 1 0  0.2909 8.5816 48.2256
0 1 0 1 0 1 1 1 0 0 1 0 1 0 1  0.2766 6.7830 43.3200
1 0 1 0 0 1 1 0 0 1 0 1 0 1 0  0.3265 6.5497 34.6643
0 0 1 0 0 0 0 1 1 0 0 1 1 1 1  0.2323 3.9685 27.9914
1 0 1 1 1 1 1 0 0 0 1 0 0 0 1  0.3569 7.1208 31.1971
1 0 0 0 1 0 1 0 0 0 0 0 1 1 0  0.5405 6.1760 18.0017
0 0 0 0 1 0 0 1 0 0 0 1 1 0 1  0.7063 7.2432 17.1679
1 0 1 1 0 1 1 0 0 0 1 1 0 1 1  0.3118 8.1942 43.4984
0 0 1 0 0 0 0 0 0 1 1 1 1 0 1  0.7072 7.0491 16.2824
0 0 1 1 1 0 1 1 1 1 0 1 1 0 1  0.2925 10.7710 64.4470
1 0 0 1 1 1 0 1 0 1 1 0 0 0 0  0.3374 5.9045 27.5920
1 0 0 0 1 1 1 1 0 1 0 1 1 1 1  0.3733 12.5385 51.1033
1 1 1 0 1 0 1 1 1 0 0 0 1 1 0  0.3204 10.4523 53.2124
1 0 0 1 0 1 1 0 0 0 1 0 0 1 1  0.2926 4.9498 28.0889
1 0 0 0 0 0 0 1 0 1 0 1 1 0 1  0.6633 7.0687 17.1984
1 1 0 1 1 1 1 0 0 1 1 0 0 0 1  0.2550 7.7148 49.7408
0 0 0 1 1 1 1 1 0 1 1 1 1 1 0  0.4733 12.8202 40.8320
0 1 0 0 1 0 0 1 1 1 0 1 0 1 1  0.3076 7.9348 39.5835
1 1 0 0 1 1 1 0 1 0 1 1 1 1 0  0.3301 14.1668 67.1278
0 1 0 0 0 1 0 1 0 1 1 0 0 1 0  0.3288 5.2302 26.9424
1 0 0 0 1 1 1 1 0 1 1 1 1 1 0  0.3128 9.2648 47.7062
1 1 1 1 0 0 1 1 1 1 0 0 1 1 0  0.3005 10.5907 58.4553
0 1 0 0 0 1 0 1 0 0 1 0 1 1 1  0.3740 7.7378 33.5625
1 1 0 0 0 0 1 1 0 1 1 1 0 1 0  0.3355 7.5876 34.8695
1 0 0 1 0 1 0 1 1 0 1 1 1 1 0  0.2998 10.4202 54.7537
1 1 1 1 0 1 0 1 0 0 1 1 0 1 0  0.3489 11.5953 55.5730
0 1 0 1 0 1 1 0 0 1 0 1 1 0 1  0.4226 13.5174 48.4684
0 0 1 0 1 1 1 0 1 1 1 0 1 0 1  0.3303 10.3067 50.4064
0 0 0 0 1 0 0 1 0 0 1 0 0 1 1  0.8024 7.3391 15.8320
1 1 0 1 1 1 0 0 1 0 1 1 1 1 0  0.3000 10.5523 57.9138
1 1 1 0 0 0 1 1 0 0 1 1 0 1 1  0.3151 9.6294 49.3734
1 1 1 0 0 1 1 0 0 0 1 1 1 0 0  0.2406 6.5309 50.6364
0 1 1 0 0 0 1 0 0 0 0 1 0 1 0  0.3619 6.9697 30.0687
1 1 1 0 0 1 0 0 0 0 1 0 1 1 1  0.3664 6.9053 29.7748
0 1 1 0 0 0 0 1 0 0 1 0 0 1 0  0.5148 8.9922 26.1604
1 0 0 0 1 0 1 1 0 0 1 0 1 1 0  0.5486 11.0353 30.8524
1 0 0 1 1 1 1 1 1 0 1 0 1 1 0  0.3276 12.7232 61.1642
